structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,sample,name,parent_structure_id,hemisphere,graph_order,structure_id_path,color_hex_triplet
4060,3,156434409,CX,LOrG,"lateral orbital gyrus, left",121128827,125,122,43,-34,48,-13,donor15496,donor15496_sample_220,"lateral orbital gyrus, left",4059,L,39,/4005/4006/4007/4008/4009/4059/4060/,E8CA59
4224,2,127686985,CX,CgGf-i,"cingulate gyrus, frontal part, left, inferior bank of gyrus",121081983,99,113,31,-8,60,-4,donor15496,donor15496_sample_221,"cingulate gyrus, frontal part, left, inferior bank of gyrus",4222,L,103,/4005/4006/4007/4008/4219/4220/4221/4222/4224/,7F5B33
4031,2,127687033,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",121112947,126,97,31,-35,60,12,donor15496,donor15496_sample_222,"middle frontal gyrus, left, inferior bank of gyrus",4029,L,47,/4005/4006/4007/4008/4009/4028/4029/4031/,E8CD59
4069,4,127686943,CX,PaOG,"parolfactory gyri, left",121130689,95,134,55,-4,36,-25,donor15496,donor15496_sample_223,"parolfactory gyri, left",4068,L,65,/4005/4006/4007/4008/4009/4068/4069/,E8D259
10143,6,156906956,CX,Pir,"piriform cortex, left",147655427,116,128,86,-25,5,-19,donor15496,donor15496_sample_230,"piriform cortex, left",10142,L,162,/4005/4006/4007/4008/4219/10142/10143/,BF9E4C
4214,14,141667105,CX,SOG-s,"superior occipital gyrus, left, superior bank of gyrus",127563549,108,72,177,-17,-86,37,donor15496,donor15496_sample_372,"superior occipital gyrus, left, superior bank of gyrus",4213,L,204,/4005/4006/4007/4008/4180/4212/4213/4214/,E88F51
4911,14,141667217,CX,OPl,"occipital pole, left, lateral aspect",127563531,139,114,176,-48,-85,-5,donor15496,donor15496_sample_373,"occipital pole, left, lateral aspect",4182,L,190,/4005/4006/4007/4008/4180/4181/4182/4911/,E88551
4099,13,141667087,CX,SPL-i,"superior parietal lobule, left, inferior bank of gyrus",127562531,109,70,167,-18,-76,39,donor15496,donor15496_sample_374,"superior parietal lobule, left, inferior bank of gyrus",4097,L,253,/4005/4006/4007/4008/4084/4096/4097/4099/,FF7B62
4187,13,141667167,CX,Cun-str,"cuneus, left, striate",127562686,106,99,166,-15,-75,10,donor15496,donor15496_sample_375,"cuneus, left, striate",4185,L,168,/4005/4006/4007/4008/4180/4184/4185/4187/,E87751
4201,13,141667231,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",127562733,136,120,169,-45,-78,-11,donor15496,donor15496_sample_376,"occipito-temporal gyrus, left, inferior bank of gyrus",4199,L,198,/4005/4006/4007/4008/4180/4198/4199/4201/,E88A51
4200,13,141667215,CX,OTG-s,"occipito-temporal gyrus, left, superior bank of gyrus",127562734,129,120,168,-38,-77,-11,donor15496,donor15496_sample_377,"occipito-temporal gyrus, left, superior bank of gyrus",4199,L,197,/4005/4006/4007/4008/4180/4198/4199/4200/,E88A51
4120,12,141667163,CX,Pcu-s,"precuneus, left, superior lateral bank of gyrus",127562273,103,41,155,-12,-64,68,donor15496,donor15496_sample_378,"precuneus, left, superior lateral bank of gyrus",4119,L,245,/4005/4006/4007/4008/4084/4118/4119/4120/,FF7462
4194,12,141667101,CX,LiG-str,"lingual gyrus, left, striate",127554742,112,113,154,-21,-63,-4,donor15496,donor15496_sample_379,"lingual gyrus, left, striate",4192,L,182,/4005/4006/4007/4008/4180/4191/4192/4194/,E88051
4193,12,141667085,CX,LiG-pest,"lingual gyrus, left, peristriate",127554743,113,114,154,-22,-63,-5,donor15496,donor15496_sample_380,"lingual gyrus, left, peristriate",4192,L,181,/4005/4006/4007/4008/4180/4191/4192/4193/,E88051
